start time,end time,proportion loud labels,uid,duration
1367704621.0,1367706676.0,0.7662737057919016,u04,2055.0
1367746621.0,1367748530.0,0.6610470275066549,u04,1909.0
1367781927.0,1367783821.0,0.9627870150435471,u04,1894.0
1367788621.0,1367791021.0,0.8808049535603715,u04,2400.0
1367791083.0,1367793421.0,0.7163076923076923,u04,2338.0
1367840221.0,1367842621.0,0.7332667332667333,u04,2400.0
1367844015.0,1367845901.0,0.790566037735849,u04,1886.0
1367849821.0,1367851648.0,0.6261510128913443,u04,1827.0
1367880515.0,1367882502.0,0.7598484848484849,u04,1987.0
1367888296.0,1367890337.0,0.7338173018753781,u04,2041.0
1367921059.0,1367923021.0,0.8280407429598562,u04,1962.0
1367923348.0,1367925343.0,0.8820729772607087,u04,1995.0
1367937156.0,1367939851.0,0.6665098777046097,u04,2695.0
1367939894.0,1367941706.0,0.713365539452496,u04,1812.0
1368023069.0,1368025051.0,0.6943419434194342,u04,1982.0
1368217677.0,1368219627.0,0.7707100591715976,u04,1950.0
1368219643.0,1368221598.0,0.6518264840182648,u04,1955.0
1368221614.0,1368223612.0,0.7104795737122558,u04,1998.0
1368224564.0,1368226651.0,0.6865671641791045,u04,2087.0
1368226722.0,1368228546.0,0.6707242848447961,u04,1824.0
1368229051.0,1368231451.0,0.7274706138441445,u04,2400.0
1368253051.0,1368255451.0,0.8244711263579187,u04,2400.0
1368298596.0,1368301051.0,0.7374517374517375,u04,2455.0
1368301963.0,1368303781.0,0.8763188745603752,u04,1818.0
1368304651.0,1368307051.0,0.6217189912506433,u04,2400.0
1368313534.0,1368315451.0,0.6864474739374499,u04,1917.0
1368316086.0,1368317917.0,0.7703488372093024,u04,1831.0
1368351061.0,1368352863.0,0.6528692380056444,u04,1802.0
1368352891.0,1368354697.0,0.6537142857142857,u04,1806.0
1368354764.0,1368356566.0,0.682648401826484,u04,1802.0
1368451051.0,1368453451.0,0.701600413009809,u04,2400.0
1368472247.0,1368474366.0,0.6133333333333333,u04,2119.0
1368481863.0,1368484191.0,0.6247987117552335,u04,2328.0
