average indoor mobility,day,uid
0.0,86,u44
0.0,91,u44
0.006615214994487321,92,u44
0.026535790042839912,93,u44
0.00565926569089556,94,u44
0.02618534243225821,95,u44
0.010796339254504433,96,u44
0.007029221263767424,97,u44
0.01322820352827727,98,u44
0.0068763896895330644,99,u44
0.01878336916870002,100,u44
0.006549155183327653,101,u44
0.046327470573975814,102,u44
0.009431081860433559,103,u44
0.10422077922077921,105,u44
0.012236798588909713,106,u44
0.012655179472359692,107,u44
0.013062585978111342,108,u44
0.03040320560981718,109,u44
0.010299160595319193,110,u44
0.006247321185042796,111,u44
0.015101416909684204,112,u44
0.12401867175896457,113,u44
0.015027601717440196,114,u44
0.02273456592036731,115,u44
0.05747267591796635,116,u44
0.0026453598229228526,117,u44
0.012939776403345569,118,u44
0.043303841292520746,119,u44
0.012855221263046772,120,u44
0.015216749495645328,121,u44
0.0029745840979693667,122,u44
0.0063624576702354056,123,u44
0.00737413257337906,125,u44
0.015904314661546844,126,u44
0.005931145985273184,127,u44
0.03746831432192649,128,u44
0.016371260533472664,129,u44
0.012661029704723537,130,u44
0.0,131,u44
0.003452170731319302,133,u44
0.0184652855463827,134,u44
0.018940118614884253,135,u44
0.004231211406492599,136,u44
0.01110864498945733,137,u44
0.051807001837628985,138,u44
0.01525263719574765,139,u44
0.014078390720869638,140,u44
0.002508424759926014,141,u44
0.006682631427174362,142,u44
0.019021677705192253,143,u44
0.0067466666666666664,144,u44
0.008034656793179612,145,u44
0.00026279482294198805,146,u44
0.008828261251639245,147,u44
0.015235830360681728,148,u44
0.0,149,u44
0.010724393029144531,150,u44
0.02851610631930998,151,u44
0.0788298206983328,86,u20
0.03275985024068461,87,u20
0.04524033930254477,88,u20
0.007833155755495048,89,u20
0.06684527796383122,90,u20
0.04971035969284656,91,u20
0.03952375688862922,92,u20
0.03774891774891775,93,u20
0.02651019399121659,94,u20
0.0,95,u20
0.0,96,u20
0.006853544084959249,97,u20
0.010826128024413281,98,u20
0.03131019566760163,99,u20
0.009337165492695566,100,u20
0.023638110725109025,101,u20
0.0222052067381317,102,u20
0.0042984648339878615,103,u20
0.004422395109056514,104,u20
0.0,105,u20
0.0,110,u20
0.0,111,u20
0.0007041822301145061,112,u20
0.029567387186964496,113,u20
0.017093902683889967,114,u20
0.02184442967043404,115,u20
0.027186429937974484,116,u20
0.030260777811275247,117,u20
0.02065765468101306,118,u20
0.01863414770425624,119,u20
0.02683417698359456,120,u20
0.0252145771774307,121,u20
0.05911817253700868,124,u20
0.0,125,u20
0.018364779874213838,126,u20
0.008940265360742555,127,u20
0.019148936170212766,128,u20
0.0053670172395099205,130,u20
0.023803274159010845,131,u20
0.0,132,u20
0.000164726553920492,133,u20
0.0003036525058561555,134,u20
0.016647647177284015,135,u20
0.0,136,u20
0.013432240332185657,137,u20
0.011159642342610167,138,u20
0.03884030025480339,139,u20
0.0008770042857379247,140,u20
0.00019271164556474148,141,u20
0.01488837344157727,86,u19
0.04219998560218847,87,u19
0.04332944946111273,88,u19
0.3504589608769272,89,u19
0.0010577533319229956,90,u19
0.017531935927339006,91,u19
0.030138816717392918,92,u19
0.023662398621550163,93,u19
0.03158106373436026,94,u19
0.022746767481017886,95,u19
0.01668393097216406,96,u19
0.01914462784561576,97,u19
0.02384881770466966,98,u19
0.025726349495361723,99,u19
0.025401982964121408,100,u19
0.015993445892997078,101,u19
0.014449166394246486,102,u19
0.02709532500350976,103,u19
0.028244809578397655,104,u19
0.008167461518690921,105,u19
0.036498301673166436,106,u19
0.028358774680403844,107,u19
0.01982832618025751,108,u19
0.018325050390042005,109,u19
0.00019578902979005392,110,u19
0.006713055206449437,111,u19
0.015155312467750733,112,u19
0.017612410334169243,113,u19
0.002777159329263291,114,u19
0.0360339716139381,115,u19
0.012028356943642418,116,u19
0.007558745935333456,117,u19
0.009757582979174114,118,u19
0.040350024307243555,119,u19
0.007344024634501928,120,u19
0.004567475875542883,121,u19
0.01949467930452986,122,u19
0.011914523543297304,123,u19
9.91006614969155e-05,124,u19
0.00511770726714432,125,u19
0.025262968623572777,126,u19
0.016298962082094613,127,u19
0.027951559006055126,128,u19
0.029007276443284373,129,u19
0.019206130343001476,130,u19
0.013203925951119966,131,u19
0.006348527895808714,132,u19
0.012014483212639895,133,u19
0.015898188681223623,134,u19
0.024556069923305467,135,u19
0.015292448368279993,136,u19
0.014234091880480255,137,u19
0.017879193249639845,138,u19
0.020893233659191105,139,u19
0.012542284673432215,140,u19
0.03332778083876837,141,u19
0.004735555921344189,142,u19
0.03267695436494304,143,u19
0.021431633090441493,144,u19
0.014413498950408471,145,u19
0.00653820674558599,146,u19
0.004450924717980201,147,u19
0.014812090902404942,148,u19
0.041080969693401435,149,u19
0.0031718883619684364,150,u19
0.039580005273198195,151,u19
0.013726416405012643,86,u18
0.021406973321559497,87,u18
0.021974916567983636,88,u18
0.027965194109772423,89,u18
0.024725492790051595,90,u18
0.017925420383998684,91,u18
0.03476488406986949,92,u18
0.035511160650490155,93,u18
0.0,94,u18
0.012597761438673723,95,u18
0.07828148257042578,96,u18
0.0,97,u18
0.024986067248746052,98,u18
0.01583997638027753,99,u18
0.02673298594662877,100,u18
0.04388679726884053,101,u18
0.015846944672567448,102,u18
0.00405195869050057,103,u18
0.01305471054924561,104,u18
0.016201871595511896,105,u18
0.024389465792538003,106,u18
0.04852133343366694,107,u18
0.03335752992217702,108,u18
0.005088830018110248,109,u18
0.015493621615046603,110,u18
0.04158333589735701,111,u18
0.00331548806567824,112,u18
0.036588624294445746,113,u18
0.015997478960441923,114,u18
0.03639240506329114,115,u18
0.014481742531969178,116,u18
0.1220848003370347,118,u18
0.030799905188159674,119,u18
0.013281451913964909,120,u18
0.0,121,u18
0.012021675445120748,122,u18
0.01612928730688341,123,u18
0.008644222020018199,124,u18
0.0,125,u18
0.0017265244764612202,126,u18
0.03117174011106099,127,u18
0.01294437077729368,128,u18
0.02881958152388472,134,u18
0.015730063589618766,135,u18
0.015528000128330579,136,u18
0.0,137,u18
0.0007319660009261611,138,u18
0.0012994245405606088,139,u18
0.010973936899862825,140,u18
